source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Veer Sharma,"F&O Talk: Nifty looks weak on chart, says Sudeep Shah; outlines HDFC Bank, Bluestone Strategy after Q1","Nifty ended a fifth straight losing session with SBI Securities warning that a break below 23,600 could deepen the correction. Bank Nifty faces key support at 55,800, while HAL, Titan, Manappuram Finance and United Spirits remain technically strong despite we…",https://economictimes.indiatimes.com/markets/expert-view/fo-talk-nifty-looks-weak-on-chart-says-sudeep-shah-outlines-hdfc-bank-bluestone-strategy-after-q1/articleshow/132621304.cms,"https://img.etimg.com/thumb/msid-132621303,width-1200,height-630,imgsize-229140,overlay-etmarkets/articleshow.jpg",2026-07-25T07:35:02Z,"The Indian stock market extended losses for the fifth consecutive session, with Sensex and Nifty tumbling more than 1% intraday before paring most of the losses and closing 0.4% lower each on Friday … [+7890 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Debaroti Adhikary,HDFC Bank shares fall as 3 US law firms launch probe over alleged federal law violations,Three United States law firms are investigating HDFC Bank for alleged securities law violations. These firms are examining if the bank disguised payments to MSRDC as marketing expenses. HDFC Bank shares have declined significantly following these announcement…,https://economictimes.indiatimes.com/markets/stocks/news/hdfc-bank-shares-fall-as-3-us-law-firms-launch-probe-over-alleged-federal-law-violations/articleshow/132598223.cms,"https://img.etimg.com/thumb/msid-132598216,width-1200,height-630,imgsize-2219977,overlay-etmarkets/articleshow.jpg",2026-07-24T06:36:06Z,Shares of HDFC Bank slipped more than 1% on Friday after three separate US law firms announced investigations into whether the Indian private lender violated federal securities laws by allegedly disg… [+3281 chars]
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Debaroti Adhikary,"HDFC Bank, 3 other bank stocks wipe out Rs 1.5 lakh crore of investors' wealth after Q1. Time to buy the dip?","Shares of HDFC Bank, Axis Bank, Kotak Mahindra Bank and Yes Bank have erased over Rs 1.5 lakh crore in market value this week following their June-quarter earnings. While investors reacted negatively to the results amid broader market weakness, brokerages say…",https://economictimes.indiatimes.com/markets/stocks/news/hdfc-bank-3-other-bank-stocks-wipe-out-rs-1-5-lakh-crore-of-investors-wealth-after-q1-time-to-buy-the-dip/articleshow/132596148.cms,"https://img.etimg.com/thumb/msid-132596144,width-1200,height-630,imgsize-15039,overlay-etmarkets/articleshow.jpg",2026-07-24T04:26:07Z,"The shares of HDFC Bank, Axis Bank, Kotak Mahindra Bank and Yes Bank have tumbled this week, eroding more than Rs 1.5 lakh crore in combined market capitalisation after their Q1 earnings announcement… [+3667 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Sneha Kulkarni,"SBI, HDFC Bank, PNB and Axis Bank 5-10 FD interest rates of NRE vs NRO accounts; check, tax tenure rules","NRE and NRO accounts offer investment avenues for Non-Resident Indians in India. NRO accounts accept Indian earnings, while NRE accounts hold international funds. Interest on NRO deposits faces tax, unlike NRE accounts which are tax-free. NRE funds are fully …",https://economictimes.indiatimes.com/wealth/invest/sbi-hdfc-bank-pnb-and-axis-bank-5-10-fd-interest-rates-of-nre-vs-nro-accounts-check-tax-tenure-rules/articleshow/132580810.cms,"https://img.etimg.com/thumb/width-1200,height-900,imgsize-1351422,resizemode-75,msid-132580810/wealth/invest/sbi-hdfc-bank-pnb-and-axis-bank-5-10-fd-interest-rates-of-nre-vs-nro-accounts-check-tax-tenure-rules.jpg",2026-07-23T12:15:21Z,"NRE (Non-Resident External) accounts and NRO (Non-Resident Ordinary) accounts are two prominent investment options for Non-Resident Indians (NRI), Overseas Citizens of India (OCIs) and Persons of Ind… [+3205 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Saloni Shukla,Three US law firms probe HDFC Bank over alleged Maharashtra deposit payments,HDFC Bank is facing fresh scrutiny in the US after three law firms launched investigations into whether the lender violated federal securities laws over allegations that it disguised ₹45 crore in payments to the Maharashtra State Road Development Corporation …,https://economictimes.indiatimes.com/industry/banking/finance/banking/three-us-law-firms-probe-hdfc-bank-over-alleged-maharashtra-deposit-payments/articleshow/132577997.cms,"https://img.etimg.com/thumb/msid-132577927,width-1200,height-630,imgsize-127498,overlay-economictimes/articleshow.jpg",2026-07-23T10:34:26Z,"HDFC Bank is facing fresh scrutiny in the United States, with three separate US law firms announcing investigations into whether the lender violated federal securities laws. This widens the fallout f… [+2683 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Saloni Shukla,Three US law firms probe HDFC Bank over alleged Maharashtra deposit payments,HDFC Bank is facing fresh scrutiny in the US after three law firms launched investigations into whether the lender violated federal securities laws over allegations that it disguised ₹45 crore in payments to the Maharashtra State Road Development Corporation …,https://economictimes.indiatimes.com/industry/banking/finance/banking/three-us-law-firms-probe-hdfc-bank-over-alleged-maharashtra-deposit-payments/articleshow/132594174.cms,"https://img.etimg.com/thumb/msid-132577927,width-1200,height-630,imgsize-127498,overlay-etmarkets/articleshow.jpg",2026-07-23T10:34:26Z,"HDFC Bank is facing fresh scrutiny in the United States, with three separate US law firms announcing investigations into whether the lender violated federal securities laws. This widens the fallout f… [+2681 chars]"
"{'id': None, 'name': 'Economictimes.com'}",ET Online,"Interest certificate download: How SBI, HDFC Bank, Axis Bank and India Post customers can get it online","If you earned interest from savings accounts, fixed deposits, recurring deposits or post office deposits during the financial year 25-26, you may need an interest certificate while filing your Income Tax Return (ITR). Most banks and India Post allow customers…",https://m.economictimes.com/wealth/invest/interest-certificate-download-how-sbi-hdfc-bank-axis-bank-and-india-post-customers-can-get-it-online/how-sbi-hdfc-bank-axis-bank-and-india-post-customers-can-get-it-online/slideshow/132576871.cms,"https://img.etimg.com/thumb/msid-132576871,width-1200,height-900,overlay-etwealth/slideshow.jpg",2026-07-23T09:45:52Z,"Jul 23, 2026, 03:20:34 PM IST
If you earned interest from savings accounts, fixed deposits, recurring deposits or post office deposits during the financial year 25-26, you may need an interest certi… [+2134 chars]"
"{'id': None, 'name': 'Economictimes.com'}",ET Online,What is the password to open an interest certificate from the SBI website?,"If you earned interest from savings accounts, fixed deposits, recurring deposits or post office deposits during the financial year 25-26, you may need an interest certificate while filing your Income Tax Return (ITR). Most banks and India Post allow customers…",https://m.economictimes.com/wealth/invest/what-is-the-password-to-open-an-interest-certificate-from-the-sbi-website/how-sbi-hdfc-bank-axis-bank-and-india-post-customers-can-get-it-online/slideshow/132576871.cms,"https://img.etimg.com/thumb/msid-132576871,width-1200,height-900,overlay-etwealth/slideshow.jpg",2026-07-23T09:45:52Z,"Jul 23, 2026, 03:20:34 PM IST
If you earned interest from savings accounts, fixed deposits, recurring deposits or post office deposits during the financial year 25-26, you may need an interest certi… [+2134 chars]"
"{'id': None, 'name': 'Livemint'}",Subhana Shaikh,US law firm launches probe into HDFC Bank over potential securities law violations,Glancy Prongay &amp; Rotter has launched a securities law investigation into HDFC Bank's US disclosures after reports of alleged payment irregularities and months of governance-related scrutiny.,https://www.livemint.com/companies/news/us-law-firm-launches-probe-into-hdfc-bank-over-potential-securities-law-violations-11784785404883.html,https://www.livemint.com/lm-img/img/2026/07/23/1600x900/logo/hdfc1_1746367382022_1784788539646_69494ba0-906e-4082-80e7-948dd36a2a52.jpg,2026-07-23T06:43:47Z,"The report said that HDFC Bank had camouflaged 45 crore as marketing expenses to pay higher interest to the Maharashtra State Road Development Corporation (MSRDC), the US law firm said in the release… [+3431 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Veer Sharma,HDFC Bank shares slide 10% in four day after Q1 results but brokerages see up to 40% upside. Here’s why,"HDFC Bank shares have fallen nearly 10% in four sessions since its Q1 FY27 results despite reporting steady earnings growth. Brokerages remain bullish, citing improving margins, healthy loan growth, lower credit costs and attractive valuations, with target pr…",https://economictimes.indiatimes.com/markets/stocks/news/hdfc-bank-shares-slide-10-in-four-day-after-q1-results-but-brokerages-see-up-to-40-upside-heres-why/articleshow/132573294.cms,"https://img.etimg.com/thumb/msid-132573286,width-1200,height-630,imgsize-36332,overlay-etmarkets/articleshow.jpg",2026-07-23T06:20:30Z,"Shares of HDFC Bank remained under pressure on Thursday, falling more than 1% to Rs 753 on the BSE and extending losses to a fourth consecutive session. The stock has now declined nearly 10% since In… [+4032 chars]"
