source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'BusinessLine'}",Hari Viswanath,"TCS, Infosys, HCL Tech, Wipro and Tech Mahindra: IT’s a chasm between management and investors",IT services face a trust gap as management touts AI potential while investors demand proof amid declining growth and margins.,https://www.thehindubusinessline.com/portfolio/tcs-infosys-hcl-tech-wipro-and-tech-mahindra-its-a-chasm-between-management-and-investors/article71267287.ece,https://bl-i.thgim.com/public/incoming/6u0r60/article71267318.ece/alternates/LANDSCAPE_1200/PO14_Changing_market.jpg,2026-07-25T18:33:01Z,"As another lacklustre earnings season from IT services companies concludes, the contradictions between managements and investors have already been starker.
From global industry leader Accenture, whi… [+4899 chars]"
"{'id': None, 'name': 'Madhyamamonline.com'}",Web Desk,"Infosys fined €175,000 by French labour authority over time recording system","Infosys said the penalty would have no material impact on its financials, operations or business activities.",https://madhyamamonline.com/business/infosys-fined-175000-by-french-labour-authority-over-time-recording-system-1540421,https://madhyamamonline.com/h-upload/2026/07/25/2888314-infosys-fined-175000-by-french-labour-authority-over-time-recording-system.jpg,2026-07-25T16:16:50Z,"Infosys has been fined 175,000 by a French labour authority after its employee working time recording system was found to be non-compliant with local legal requirements.
In a stock exchange filing d… [+1010 chars]"
"{'id': None, 'name': 'BusinessLine'}","KS Badri Narayanan, Madhu Balaji, Team BL","Q1 Results Today Highlights: Tata Consumer con. PAT up 28.4%, ACC PAT declines 61.5%, Shriram Finance, Hindustan Zinc, SBI Life, SBI Cards, Laurus Labs Q1 profit rise","Q1 Results Today, 24th July 2026 Highlights: Get real-time Q1 FY27 earnings updates, profit growth, revenue numbers and management outlook of NTPC, Shriram Finance, Hindustan Zinc, SBI Life Insurance Company, CG Power and Industrial Solutions, Bank of Baroda,…",https://www.thehindubusinessline.com/markets/fy27-q1-results-today-highlights-shriram-finance-hindustan-zinc-dalmia-bharat-tata-consumer-jindal-steel-lodha-laurus-labs-sbi-life-cg-power-ntpc-infosys-indigo-cipla-results-24-july-2026/article71257341.ece,https://bl-i.thgim.com/public/incoming/xwguys/article71257339.ece/alternates/LANDSCAPE_1200/IMG_03th_BU_terms_and_co_2_1_SD9F6LFU.jpg,2026-07-24T15:41:03Z,"<li></li>
July 24, 2026 21:10This live blog is closed
To read the latest news, visit businessline
<li></li>
July 24, 2026 21:06TCPL Q1 profit rises 28.77% to 427.2 cr on strong domestic volume gr… [+33119 chars]"
"{'id': None, 'name': 'Livemint'}",Jas Bardia,"Why Infosys picked Dash: AI bets, continuity and the search for stability",Infosys’ decision to name company veteran Ashiss Dash as its next CEO is a bet on continuity and AI leadership to navigate an uncertain future for IT services.,https://www.livemint.com/companies/why-infosys-picked-ashiss-dash-ai-bets-continuity-search-for-stability-11784865145992.html,https://www.livemint.com/lm-img/img/2026/07/24/1600x900/logo/INDIA-IT-RESULTS-PREVIEW-1_1776939742226_1776939758596_1784871835945_b34b982f-87f7-4377-95ef-557099f981df.JPG,2026-07-24T05:51:02Z,"Early on in his career, he began focusing on quality program execution and growing relationships that were believed to have peaked. The company noticed his hunger and his drive and he was invited to … [+5674 chars]"
"{'id': None, 'name': 'BusinessLine'}",BL Bengaluru Bureau,Infosys shares fall over 2% after Q1 results; brokerages trim target prices,"The stock traded at ₹1,032.70 at 9.37 am on the NSE, hitting a low of ₹1,023 from the previous close of ₹1,047.40",https://www.thehindubusinessline.com/markets/infosys-shares-fall-over-2-after-q1-results-brokerages-trim-target-prices/article71260876.ece,https://bl-i.thgim.com/public/incoming/rmj850/article71260918.ece/alternates/LANDSCAPE_1200/iStock-1409383663.jpg,2026-07-24T04:32:50Z,Infosys shares declined over 2 per cent on Friday following the companys Q1 results. The tech major moderated its FY27 constant currency revenue growth guidance to 1.53 per cent and lowered the upper… [+2699 chars]
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Veer Sharma,"Infosys shares fall 3% as JPMorgan downgrades stock, Jefferies cuts target after Q1 results","Infosys shares fell after global brokerages turned cautious following the company's Q1 FY27 results and a cut to the upper end of its revenue growth guidance. JPMorgan downgraded the stock, while Jefferies lowered its target price, citing weaker demand visibi…",https://economictimes.indiatimes.com/markets/stocks/news/infosys-shares-fall-3-as-jpmorgan-downgrades-stock-jefferies-cuts-target-after-q1-results/articleshow/132595782.cms,"https://img.etimg.com/thumb/msid-132595777,width-1200,height-630,imgsize-50386,overlay-etmarkets/articleshow.jpg",2026-07-24T03:58:13Z,"Shares of information technology major Infosys declined 2.6% to their days low of Rs 1,027 on the BSE on Friday after global brokerages issued bearish calls on the stock after the company trimmed the… [+5037 chars]"
"{'id': None, 'name': 'BusinessLine'}","KS Badri Narayanan, Madhu Balaji, Team BL","Q1 Results Today Live: Shriram Finance, TCP, BoB, Hindustan Zinc, Dalmia Bharat, Jindal Steel, Lodha, SBI Life, CG Power, NTPC, SAIL, Welspun Corp to announce Q1 results, Infosys, IndiGo, Cipla shares in focus","Q1 Results Today, 24th July 2026 Live Updates: Get real-time Q1 FY27 earnings updates, profit growth, revenue numbers and management outlook of NTPC, Shriram Finance, Hindustan Zinc, SBI Life Insurance Company, CG Power and Industrial Solutions, Bank of Barod…",https://www.thehindubusinessline.com/markets/fy27-q1-results-today-live-updates-shriram-finance-hindustan-zinc-dalmia-bharat-tata-consumer-jindal-steel-lodha-laurus-labs-sbi-life-cg-power-ntpc-infosys-indigo-cipla-results-24-july-2026/article71257341.ece,https://bl-i.thgim.com/public/incoming/xwguys/article71257339.ece/alternates/LANDSCAPE_1200/IMG_03th_BU_terms_and_co_2_1_SD9F6LFU.jpg,2026-07-24T03:06:11Z,"Businessman and customer home buyer had achieve target means together and signed in the contract of sale of real estate
 | Photo Credit: 
 Jakraphong Pongpotganatam
Q1 Results Today, July 24, 2026… [+1419 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETtech,Flipkart chief rules out IPO timeline; Infosys names new CEO,"Happy Friday! Flipkart group CEO Kalyan Krishnamurthy talked to us about IPO plans, quick commerce, and festive demand. That and more in today’s ETtech Morning Dispatch.",https://economictimes.indiatimes.com/tech/newsletters/morning-dispatch/flipkart-chief-rules-out-ipo-timeline-infosys-names-new-ceo/articleshow/132594401.cms,"https://img.etimg.com/thumb/msid-132594401,width-1070,height-580,imgsize-2184273,overlay-ettech/editionshow.jpg",2026-07-24T01:44:09Z,"Happy Friday! Flipkart group CEO Kalyan Krishnamurthy talked to us about IPO plans, quick commerce, and festive demand. That and more in todays ETtech Morning Dispatch.Also in the letter:Byjus-BCCI s… [+7774 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",TNN,"Infosys Q1 revenue up 2.8%, guidance cut",India Business News: BENGALURU: Infosys shares fell nearly 5% in early trading on the New York Stock Exchange on Thursday after the company reported weaker-than-expected J.,https://timesofindia.indiatimes.com/business/india-business/infosys-q1-revenue-up-2-8-guidance-cut/articleshow/132594467.cms,"https://static.toiimg.com/thumb/msid-132594495,width-1280,height-720,resizemode-6,overlay-toi_sw,pt-32,y_pad-600/photo.jpg",2026-07-24T01:40:41Z,"<ul><li>News</li>
<li>Infosys Q1 revenue up 2.8%, guidance cut</li></ul>
Follow Us On Social Media
Italy confess Carlo Ancelotti was their dream appointment before Pep Guardiola in manager huntLow… [+1757 chars]"
"{'id': None, 'name': 'BusinessLine'}",KS Badri Narayanan,"Watch out for these 9 stocks, including Infy, Shadowfax, Akums, Swiggy and Eternal on Friday","From significant block deals and strategic acquisitions to key leadership changes and regulatory updates, Friday’s trading landscape features pivotal developments for stocks like Shadowfax, Infosys, and Swiggy",https://www.thehindubusinessline.com/markets/watch-out-for-these-9-stocks-including-infy-shadowfax-akums-swiggy-and-eternal-on-friday/article71260710.ece,https://bl-i.thgim.com/public/incoming/h9i79s/article71260713.ece/alternates/LANDSCAPE_1200/iStock-2217949030.jpg,2026-07-24T01:35:13Z,"Shadowfax Technologies is set to witness a block deal worth up to 1,047.5 crore (about $108 million) on Friday, with existing investors Eight Roads Investments Mauritius II, Flipkart Internet and IMM… [+4611 chars]"
