source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",PTI,M-cap of five of top 10 most valued firms jumps Rs 1.54 lakh cr; TCS biggest winner,"Last week marked a significant uplift in the market valuation of five of the top 10 firms, appreciating by Rs 1.54 lakh crore. Tata Consultancy Services claimed the spotlight, boosting its valuation by Rs 72,072.3 crore. ICICI Bank and Reliance Industries als…",https://economictimes.indiatimes.com/markets/stocks/news/m-cap-of-five-of-top-10-most-valued-firms-jumps-rs-1-54-lakh-cr-tcs-biggest-winner/articleshow/132490890.cms,"https://img.etimg.com/thumb/msid-132490890,width-1200,height-630,imgsize-25428,overlay-etmarkets/articleshow.jpg",2026-07-19T06:46:18Z,"The combined market valuation of five of the top-10 most valued firms jumped Rs 1.54 lakh crore last week, with IT major TCS emerging as the biggest winner, in line with a positive trend in equities.… [+2213 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETtech,TCS and Google Cloud launch Gemini Experience Center in Kolkata,"Tata Consultancy Services and Google Cloud have opened a new Gemini Experience Center in Kolkata. This facility will help consumer businesses develop and deploy agentic artificial intelligence solutions. The center is TCS's eighth globally and third in India,…",https://economictimes.indiatimes.com/tech/technology/tcs-and-google-cloud-launch-gemini-experience-center-in-kolkata/articleshow/132433314.cms,"https://img.etimg.com/thumb/width-1200,height-900,imgsize-48742,resizemode-75,msid-132433314/tech/technology/tcs-and-google-cloud-launch-gemini-experience-center-in-kolkata.jpg",2026-07-16T08:03:53Z,"Tata Consultancy Services (TCS) and Google Cloud have launched a Gemini Experience Center in Kolkata to help consumer businesses develop and deploy agentic artificial intelligence (AI) solutions, acc… [+992 chars]"
"{'id': None, 'name': 'Economictimes.com'}",Economic Times,"Q1 Results Earnings Live Updates: Wipro, Tech Mahindra, Jio Financial among 41 firms to report June quarter earnings today",Q1 Results Today Live: Corporate earnings are set to grow around 10% this June quarter — the strongest showing in four quarters — as the reporting season gathers pace this week. Tata Consultancy Services (TCS) opened the cycle on July 9.,https://m.economictimes.com/markets/stocks/news/q1-results-today-live-updates-wipro-tech-mahindra-bhel-jio-finances-quarter-1-results-earnings-2026-share-price-updates/liveblog/132432215.cms,"https://economictimes.indiatimes.com/thumb/msid-132432215,width-1200,height-900,resizemode-4,imglength-1954489/markets/stocks/news/q1-results-today-live-updates-wipro-tech-mahindra-bhel-jio-finances-quarter-1-results-earnings-2026-share-price-updates.jpg",2026-07-16T07:08:08Z,"Shares of HDB Financial Services jumped 4.5% to Rs 786 on the BSE on Thursday after the non-banking financial company reported a strong set of June quarter earnings, with profit rising 38% year-on-ye… [+364 chars]"
"{'id': None, 'name': 'BusinessLine'}",Prethicshaa Gurumoorthy,"Top Business & Market Headlines Today — BL Morning Report, July 15, 2026","Stay updated with today’s key developments across geopolitics, technology, economy and global relations. This update covers escalating Iran–US tensions, including renewed concerns over the Strait of Hormuz and warnings of military retaliation, alongside Tata …",https://www.thehindubusinessline.com/multimedia/audio/bl-morning-report-july-13-2026/article71224231.ece,https://bl-i.thgim.com/public/incoming/j4hc4o/article70081359.ece/alternates/LANDSCAPE_1200/PrethicshaaBL%20Morning%20report%20-%20horizontal.jpg,2026-07-15T06:05:15Z,"From escalating Iran-US tensions and TCSs artificial intelligence push, to a likely uptick in retail inflation and India-New Zealand deepening strategic ties, here are the key developments across geo… [+2106 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Bloomberg,You can’t spell chai latte without AI. That will hurt India,"The AI adoption craze is looming over what’s promising to be another lackluster earnings season for IT services exporters. Last week, Tata Consultancy Services Ltd., the biggest among them, reported 0.4% growth in revenue over the previous three months after …",https://economictimes.indiatimes.com/markets/stocks/news/you-cant-spell-chai-latte-without-ai-that-will-hurt-india/articleshow/132404282.cms,"https://img.etimg.com/thumb/msid-132404279,width-1200,height-630,imgsize-18790,overlay-etmarkets/articleshow.jpg",2026-07-15T02:24:34Z,Starbucks Corp. is brewing a tempest in a chai latte cup.The coffee chain is tapping artificial intelligence to develop in-house alternatives to systems by Microsoft and IBM that track inventory and … [+4618 chars]
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Online,"How TCS, India's biggest IT company, will transform New York's JFK Airport's New Terminal One","New Terminal One at JFK Airport has partnered with Tata Consultancy Services.  This collaboration aims to create the world's most advanced airport experience.  TCS will provide intelligent, digitally-enabled guest services and cost efficiencies.  The partners…",https://economictimes.indiatimes.com/news/india/how-tcs-indias-biggest-it-company-will-transform-new-yorks-jfk-airports-new-terminal-one/articleshow/132385800.cms,"https://img.etimg.com/thumb/msid-132386290,width-1200,height-630,imgsize-764665,overlay-economictimes/articleshow.jpg",2026-07-14T08:54:30Z,Tata Consultancy Services (TCS) has partnered with New Terminal One at John F. Kennedy International Airport (JFK) to develop technology solutions for the airport's new terminal. The collaboration wi… [+2268 chars]
"{'id': 'the-next-web', 'name': 'The Next Web'}",Ana-Maria Stanciuc,"TCS bets on 8,900 AI deployment engineers to defend India’s IT services model","Tata Consultancy Services plans to build a team of up to 8,900 forward-deployed AI engineers and is looking for acquisition targets in AI and cybersecurity, chief executive K Krithivasan said. The move is India’s largest IT firm answering the question that ha…",https://thenextweb.com/news/tcs-forward-deployed-ai-engineers-acquisitions/,https://media.thenextweb.com/2026/07/chief-executive-K-Krithivasan.avif,2026-07-13T08:30:03Z,"Tata Consultancy Services plans to build a team of up to 8,900 forward-deployed AI engineers and is looking for acquisition targets in AI and cybersecurity, chief executive K Krithivasan said.
The m… [+3621 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Reuters,TCS bags multi-million contract from industrial giant ABB,Tata Consultancy Services has secured a significant contract from ABB. The Indian firm will manage ABB's global network ecosystem using AI. This deal also includes robust cybersecurity offerings for infrastructure protection. The contract extends a long-stand…,https://economictimes.indiatimes.com/tech/information-tech/tcs-bags-multi-million-contract-from-industrial-giant-abb/articleshow/132359331.cms,"https://img.etimg.com/thumb/width-1200,height-900,imgsize-245622,resizemode-75,msid-132359331/tech/information-tech/tcs-bags-multi-million-contract-from-industrial-giant-abb.jpg",2026-07-13T07:00:13Z,"Tata Consultancy Services has secured a multi-million contract from Swiss-Swedish industrial technology firm ABB, India's top software services firm said on Monday.Here are some details:
TCS will de… [+402 chars]"
"{'id': None, 'name': 'BusinessLine'}",Vallari Sanzgiri,TCS to take on larger share of AI model and inference costs for project deployment,"Tata Consultancy Services (TCS) is beginning to shoulder a larger share of the infrastructure costs involved in deploying artificial intelligence solutions, signalling a shift in how IT services companies are commercialising enterprise AI.",https://www.thehindubusinessline.com/info-tech/tcs-to-take-on-larger-share-of-ai-model-and-inference-costs-for-project-deployment/article71216048.ece,https://bl-i.thgim.com/public/incoming/qbxvyx/article71216141.ece/alternates/LANDSCAPE_1200/iStock-2251786934.jpg,2026-07-13T05:52:24Z,"Tata Consultancy Services (TCS) is beginning to shoulder a larger share of the infrastructure costs involved in deploying artificial intelligence solutions, signalling a shift in how IT services comp… [+2423 chars]"
"{'id': None, 'name': 'The Manila Times'}",Reuters,"India's Tata Consultancy Services plans up to 8,900 AI deployment engineers, seeks AI acquisitions","BENGALURU — Tata Consultancy Services (TCS) is building a team of up to 8,900 forward-deployed engineers and hunting for artificial intelligence (AI) acquisitions as it bets AI will create new business rather than undermine outsourcing, two TCS executives tol…",https://www.manilatimes.net/2026/07/13/business/foreign-business/indias-tata-consultancy-services-plans-up-to-8900-ai-deployment-engineers-seeks-ai-acquisitions/2382961,https://manilatimes.net/manilatimes/uploads/images/2026/07/13/1134096.jpg,2026-07-12T16:42:42Z,"BENGALURU Tata Consultancy Services (TCS) is building a team of up to 8,900 forward-deployed engineers and hunting for artificial intelligence (AI) acquisitions as it bets AI will create new business… [+2518 chars]"
